query_name,index_type,index_description,index_statement,execution_time,cpu_start,cpu_end,cpu_change,memory_start,memory_end,memory_change,result_count,select,insert,update,delete,create,drop,alter,join,where,group by,order by,having,limit,between,like,,
price_range_products_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.004722595,0,0,0,92.34765625,92.29296875,-0.0546875,785,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,,
price_range_products_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.003272533,0,0,0,92.29296875,92.29296875,0,785,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,,
product_performance_pivot,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),2.2804243564605713,0,0,0,92.29296875,93.0625,0.76953125,2000,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,,
product_performance_pivot_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),2.231757164001465,0,0,0,93.0625,93.0625,0,2000,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,,
product_performance_pivot_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),2.1736238,0,0,0,93.0625,93.0625,0,2000,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,,
product_performance_pivot_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),2.374967336654663,0,0,0,93.0625,93.0625,0,2000,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,,
product_performance_pivot_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),2.257152795791626,0,0,0,93.0625,93.0625,0,2000,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,,
product_price_changes,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),1.7213692665100098,0,0,0,93.0625,93.0625,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,,
product_price_changes_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),1.6855802536010742,0,0,0,93.0625,93.0625,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,,
product_price_changes_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),1.7271032333374023,0,0,0,93.0625,93.0625,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,,
product_price_changes_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),1.8002607822418213,0,0,0,93.0625,93.0625,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,,
product_price_changes_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),1.7310469150543213,0,0,0,93.0625,93.0625,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,,
product_sales_ranking,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.22782015800476074,0,0,0,93.0625,93.07421875,0.01171875,2000,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,,
product_sales_ranking_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.2433156967163086,0,0,0,93.078125,93.078125,0,2000,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,,
product_sales_ranking_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.23937416076660156,0,0,0,93.078125,93.078125,0,2000,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,,
product_sales_ranking_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.2501823902130127,0,0,0,93.078125,93.078125,0,2000,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,,
product_sales_ranking_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.2462449073791504,0,0,0,93.078125,93.078125,0,2000,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,,
range_product_price,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.002666712,0,0,0,93.078125,93.078125,0,208,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
range_product_price_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.002631426,0,0,0,93.078125,93.078125,0,208,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
range_product_price_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.005827188,0,0,0,93.078125,93.078125,0,208,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
range_product_price_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.007584095,0,0,0,93.078125,93.078125,0,208,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
range_product_price_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.002426386,0,0,0,93.078125,93.078125,0,208,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
range_sort_order_date,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.024564981,0,0,0,93.078125,93.4296875,0.3515625,8775,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
range_sort_order_date_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.042976618,0,0,0,93.4296875,93.4296875,0,8775,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
range_sort_order_date_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.038000584,0,0,0,93.4296875,93.4296875,0,8775,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
range_sort_order_date_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.02190423,0,0,0,93.4296875,93.4296875,0,8775,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
range_sort_order_date_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.063364983,0,0,0,93.4296875,93.4296875,0,8775,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_lookup,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.003246307,0,0,0,93.43359375,93.43359375,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
category_lookup_btree,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.004854679,0,0,0,93.43359375,93.43359375,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
category_lookup_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.001922369,0,0,0,93.43359375,93.43359375,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
category_lookup_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.005019665,0,0,0,93.43359375,93.43359375,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
category_lookup_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.003008366,0,0,0,93.4375,93.4375,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
category_products,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.004170656,0,0,0,93.4375,93.4375,0,101,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,,
category_products_btree,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.002040863,0,0,0,93.4375,93.4375,0,101,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,,
